latitude,longitude,province
41.2767,27.596,Tekirdağ
38.547,28.6524,Manisa
38.6791,29.2246,Uşak
38.7387,26.9455,İzmir
39.5809,31.9407,Ankara
38.6782,29.2187,Uşak
39.7412,30.6442,Eskişehir
40.3689,28.5698,Bursa
38.3317,38.1824,Malatya
38.3389,38.196,Malatya
38.3406,38.1846,Malatya
37.1446,37.2938,Gaziantep
39.5819,31.9428,Ankara
40.2023,29.1895,Bursa
40.095,29.5047,Bursa
40.4407,27.139,Çanakkale
37.1613,37.3253,Gaziantep
38.6793,29.2251,Uşak
38.6772,29.2376,Uşak
38.6262,29.475,Uşak
38.6208,29.4805,Uşak
37.9842,32.609,Konya
37.8143,29.2455,Denizli
37.8027,29.2556,Denizli
37.6198,30.0642,Burdur
37.1602,37.2992,Gaziantep
37.2143,33.3087,Karaman
37.4694,32.6975,Konya
37.8074,34.2387,Konya
40.2606,27.2909,Çanakkale
38.2632,34.0167,Aksaray
38.3516,33.2256,Konya
38.8335,35.6383,Kayseri
38.8319,35.6269,Kayseri
38.6704,29.2173,Uşak
39.7959,33.9972,Kırıkkale
40.255,29.068,Bursa
39.792,33.8117,Kırıkkale
38.4999,43.3899,Van
38.6543,39.7665,Elâzığ
38.6527,39.778,Elâzığ
37.1618,37.3063,Gaziantep
39.246,27.5401,Manisa
41.7558,26.5729,Edirne
40.9445,33.908,Kastamonu
40.6042,34.2432,Çorum
40.8064,32.9246,Çankırı
39.7358,37.0104,Sivas
40.0821,32.9755,Ankara
39.9904,32.7406,Ankara
40.2603,29.0728,Bursa
40.2871,27.2543,Çanakkale
38.2582,34.0196,Aksaray
38.4662,32.6885,Konya
37.167,37.329,Gaziantep
37.1598,37.3006,Gaziantep
37.2178,33.3145,Karaman
37.8012,29.2428,Denizli
37.0776,37.4363,Gaziantep
37.1585,37.3047,Gaziantep
38.3346,38.1826,Malatya
38.6528,39.7664,Elâzığ
41.2407,36.4667,Samsun
37.4514,28.3443,Muğla
37.8523,40.9559,Diyarbakır
37.8473,40.9504,Diyarbakır
40.4411,27.133000000000003,Çanakkale
40.0945,29.5095,Bursa
38.6746,29.2216,Uşak
39.5851,27.8446,Balıkesir
37.9107,28.3248,Aydın
41.2731,27.594,Tekirdağ
38.3408,38.1927,Malatya
39.7909,37.0959,Sivas
38.3379,38.1728,Malatya
38.3359,38.1851,Malatya
37.1626,37.3047,Gaziantep
37.7796,38.211999999999996,Adıyaman
37.7732,38.2176,Adıyaman
40.9545,39.9612,
38.8327,29.3394,Kütahya
36.7301,36.2114,Hatay
39.5879,27.853,Balıkesir
40.4401,27.1406,Çanakkale
40.1672,27.7268,Balıkesir
39.59,27.8403,Balıkesir
38.6228,29.4788,Uşak
38.427,27.4204,İzmir
37.8051,29.2555,Denizli
37.3282,32.0918,Konya
37.8009,29.2464,Denizli
38.7028,31.1807,Afyonkarahisar
38.6196,29.4792,Uşak
38.6764,29.2251,Uşak
38.6736,29.2102,Uşak
39.458,31.7351,
39.9259,41.0716,Erzurum
37.1171,38.9641,Şanlıurfa
40.4529,33.3406,Çankırı
40.4502,33.3328,Çankırı
38.6499,39.7695,Elâzığ
37.7024,33.3086,Konya
38.6776,29.2276,Uşak
38.6198,29.4766,Uşak
37.7037,33.2848,Konya
37.7005,33.3015,Konya
37.6962,33.2916,Konya
36.9329,30.6485,Antalya
41.056000000000004,27.1825,Tekirdağ
41.0525,27.2002,Tekirdağ
39.2508,27.5436,Manisa
40.4892,30.1846,Sakarya
41.8347,33.3492,Kastamonu
41.0586,26.7842,Tekirdağ
41.2737,27.5864,Kırklareli
41.2414,36.4573,Samsun
41.2394,36.4693,Samsun
39.7913,37.0921,Sivas
41.2775,27.5884,Tekirdağ
41.2751,27.6019,Tekirdağ
40.0964,29.5072,Bursa
40.1754,28.7842,Bursa
38.6773,29.2147,Uşak
38.6739,29.2316,Uşak
37.491,30.1323,Burdur
37.7443,30.3156,Burdur
37.8433,30.5293,Isparta
37.7983,29.2497,Denizli
37.8077,29.247,Denizli
38.6198,29.4814,Uşak
38.6177,29.4688,Uşak
38.6764,29.2088,Uşak
38.6743,29.195999999999998,Uşak
39.8977,30.046,Bilecik
39.5876,27.8342,Balıkesir
40.7952,29.451,Kocaeli
39.7449,39.4921,Erzincan
38.3403,38.1784,Malatya
37.7789,38.216,Adıyaman
37.5982,36.7735,Kahramanmaraş
37.1652,38.6938,Şanlıurfa
37.1486,38.7381,Şanlıurfa
37.1171,38.6513,Şanlıurfa
37.1598,37.3043,Gaziantep
37.1653,37.3105,Gaziantep
40.7564,30.6509,Sakarya
40.4454,27.1446,Çanakkale
38.8118,27.8451,Manisa
37.8125,29.2424,Denizli
37.8104,29.255,Denizli
37.8031,29.2398,Denizli
37.801,29.2524,Denizli
36.9058,35.5356,Adana
37.1812,33.2378,Karaman
37.4078,33.2544,Karaman
41.1252,27.9559,Tekirdağ
37.1651,37.3068,Gaziantep
39.9178,26.2742,Çanakkale
40.4402,27.1411,Çanakkale
41.4072,32.128,Zonguldak
40.8344,33.2187,Çankırı
40.0876,32.9727,Ankara
39.977,32.563,Ankara
39.936,32.7695,Ankara
37.8023,29.2499,Denizli
36.9842,35.6152,Adana
37.001,35.0095,Mersin
40.4606,35.1665,Çorum
40.4816,34.8582,Çorum
41.3784,28.06,Tekirdağ
41.3734,28.0574,Tekirdağ
39.1406,43.9363,Van
41.3341,27.4755,Kırklareli
38.3339,38.1779,Malatya
36.735,36.2119,Hatay
40.757,30.6455,Sakarya
40.755,30.6577,Sakarya
40.8327,29.5779,Kocaeli
40.6639,30.5882,Sakarya
40.6832,29.4049,
40.4438,27.1421,Çanakkale
39.7437,30.6514,Eskişehir
39.2678,31.2139,
39.3917,30.1274,Kütahya
39.3827,30.125,Kütahya
38.7917,30.5589,Afyonkarahisar
38.6774,29.2009,Uşak
